helipuerto;SINGLE;Helipuerto;transporte;4326;Pista circular marcada con una letra ¨H¨, para la operación de aeronaves de despegue vertical. Puede incluir instalaciones asociadas.;puntos_de_transporte_aereo_GB035,areas_de_transporte_aereo_GB035;helipuerto_puntos_visor,helipuerto_area_visor;
aeropuerto;SINGLE;Aeropuerto;transporte;4326;Estación terrestre provista de un conjunto de pistas, instalaciones y servicios destinados al tráfico regular de aeronaves. Puede tener aduana.;puntos_de_transporte_aereo_GB005,areas_de_transporte_aereo_GB005;aeropuerto_puntos_visor,aeropuerto_areas_visor;
aerodromo;SINGLE;Aeródromo;transporte;4326;Lugar de aterrizaje de aeronaves de menor porte que un aeropuerto, con o sin instalaciones de servicios y sin aduana. Incluye aeroclub.;areas_de_transporte_aereo_GB001,puntos_de_transporte_aereo_GB001;aerodromo_area_visor,aerodromo_puntos_visor;
glaciar;SINGLE;Glaciar;relieve-suelo;4326;Masa de hielo permanente y en movimiento, alimentada desde un ventisquero y que en forma de lengua ocupa un valle moviéndose cuesta abajo. También incluye glaciar de circo.;areas_de_glaciologia_BJ030,puntos_de_glaciologia_BJ030;glaciar_area_visor,glaciar_punto_visor;
planta_urbana;SINGLE;Planta Urbana;habitat-infraestructura-social;4326;Área urbana aproximada que incluye la zona contigua de amanzanamiento edificado, cuyos límites son reconocibles.;areas_de_asentamientos_y_edificios_020105,areas_de_asentamientos_y_edificios_020106;planta_urbana_visor,ejido_urbano_visor;
canal;SINGLE;Canal;hidrografia-oceanografia;4326;Excavación artificial sin flujo o con flujo controlado, construido con el objetivo de transportar agua.;lineas_de_aguas_continentales_BH020,areas_de_aguas_continentales_BH020;canal_linea_visor,canal_area_visor;
